,aSMB,sector,aogcm,year,aST,sector,aogcm,year
0,-1.9525106257225855e-07,1.0,access1.3_rcp85,1,1.3766327414808552,1.0,access1.3_rcp85,1
1,1.0347472262611617e-06,1.0,access1.3_rcp85,2,1.344491238922834,1.0,access1.3_rcp85,2
2,-5.025701965676594e-06,1.0,access1.3_rcp85,3,0.6149023611087248,1.0,access1.3_rcp85,3
3,-3.833702422978898e-06,1.0,access1.3_rcp85,4,0.8511074703870194,1.0,access1.3_rcp85,4
4,-4.772951366061593e-08,1.0,access1.3_rcp85,5,0.7687341586102321,1.0,access1.3_rcp85,5
5,-4.5590095831119435e-06,1.0,access1.3_rcp85,6,0.6471966607410242,1.0,access1.3_rcp85,6
6,-4.985801868935354e-06,1.0,access1.3_rcp85,7,0.48171640800876253,1.0,access1.3_rcp85,7
7,-5.795645897233255e-06,1.0,access1.3_rcp85,8,0.06763370631818322,1.0,access1.3_rcp85,8
8,1.1048010463320244e-06,1.0,access1.3_rcp85,9,0.8811916775726831,1.0,access1.3_rcp85,9
9,2.5300006101987967e-06,1.0,access1.3_rcp85,10,0.5392454079359159,1.0,access1.3_rcp85,10
10,-4.693050921715983e-06,1.0,access1.3_rcp85,11,0.8683941198405228,1.0,access1.3_rcp85,11
11,6.07631832828079e-08,1.0,access1.3_rcp85,12,1.4449925393956324,1.0,access1.3_rcp85,12
12,-7.230246144265372e-06,1.0,access1.3_rcp85,13,1.1540344803628122,1.0,access1.3_rcp85,13
13,-8.990269716066603e-06,1.0,access1.3_rcp85,14,2.5066611419531153,1.0,access1.3_rcp85,14
14,-1.7304310193050616e-06,1.0,access1.3_rcp85,15,1.8798099975025635,1.0,access1.3_rcp85,15
15,-3.0559641035092955e-07,1.0,access1.3_rcp85,16,1.4086512883305073,1.0,access1.3_rcp85,16
16,-5.2196443926766904e-06,1.0,access1.3_rcp85,17,1.0696564043673127,1.0,access1.3_rcp85,17
17,-1.006519901305376e-05,1.0,access1.3_rcp85,18,1.621972493284582,1.0,access1.3_rcp85,18
18,-3.02172573483273e-06,1.0,access1.3_rcp85,19,1.0835426496598877,1.0,access1.3_rcp85,19
19,-8.484306166304983e-06,1.0,access1.3_rcp85,20,1.900140462362,1.0,access1.3_rcp85,20
20,-5.154381799086184e-06,1.0,access1.3_rcp85,21,1.441271522018498,1.0,access1.3_rcp85,21
21,-2.90520421248071e-06,1.0,access1.3_rcp85,22,1.9837785092610372,1.0,access1.3_rcp85,22
22,-8.83470696071751e-06,1.0,access1.3_rcp85,23,1.2993619467461879,1.0,access1.3_rcp85,23
23,-3.257677824340061e-06,1.0,access1.3_rcp85,24,1.4969731675715914,1.0,access1.3_rcp85,24
