aogcm,sector,pr_clim,evspsbl_clim,smb_clim,ts_clim,mrro_clim
noresm1-m_rcp85,1,2.359655081818346e-05,1.0909440788964275e-05,1.2553266060422175e-05,269.8684997558594,1.3384419617068488e-07
noresm1-m_rcp85,2,9.374184628541116e-06,1.1369870662747417e-06,7.943510354380123e-06,249.6837158203125,2.9368698051257525e-07
noresm1-m_rcp85,3,2.6339528631069697e-05,1.204419822897762e-05,1.4200020814314485e-05,270.1199645996094,9.53085717014801e-08
noresm1-m_rcp85,4,1.807037006074097e-05,5.98208941937628e-07,1.688596239546314e-05,248.05918884277344,5.861993486178108e-07
noresm1-m_rcp85,5,9.090845196624286e-06,4.421370647378353e-07,8.355646968993824e-06,245.5599822998047,2.9306085025382345e-07
noresm1-m_rcp85,6,3.2857099085958907e-06,7.15586338628782e-07,2.4442506401101127e-06,232.35536193847656,1.258729724895602e-07
noresm1-m_rcp85,7,2.2286494640866295e-05,6.287329597398639e-06,1.5903387975413352e-05,258.3970947265625,9.577673409921772e-08
noresm1-m_rcp85,8,1.8710396034293808e-05,6.5654280660965014e-06,1.2006879842374474e-05,253.6341552734375,1.3808575261009537e-07
noresm1-m_rcp85,9,6.4907167143246625e-06,2.1275602648529457e-06,4.301731223677052e-06,238.45387268066406,6.142501973727121e-08
noresm1-m_rcp85,10,1.305708155996399e-05,3.79353900825663e-06,9.030445653479546e-06,253.68556213378906,2.330982624698663e-07
noresm1-m_rcp85,11,4.650742539524799e-06,5.574540296038322e-07,3.9752803786541335e-06,237.2352752685547,1.1800808152884201e-07
noresm1-m_rcp85,12,2.0750705516547896e-05,6.375988959916867e-06,1.4330487829283811e-05,260.7795104980469,4.4228887219333046e-08
noresm1-m_rcp85,13,2.2163156245369464e-05,8.644061381346546e-06,1.3455473890644498e-05,263.435546875,6.361995019688038e-08
noresm1-m_rcp85,14,1.2676624464802444e-05,2.6069765226566233e-06,9.916517228703015e-06,248.69703674316406,1.5313054291254957e-07
noresm1-m_rcp85,15,1.618658825464081e-05,4.031571734230965e-06,1.2083120964234695e-05,260.61883544921875,7.189477457814064e-08
noresm1-m_rcp85,16,1.6195441276067868e-05,1.531194243398204e-06,1.4191813534125686e-05,255.6932373046875,4.724314237591898e-07
noresm1-m_rcp85,17,2.3404798412229866e-05,7.244972948683426e-06,1.5270965377567336e-05,270.2530212402344,8.888578690857685e-07
noresm1-m_rcp85,18,1.993634577956982e-05,2.267842774017481e-06,1.663489456404932e-05,258.2539367675781,1.0336078730688314e-06
noresm1-m_rcp26,1,2.3561424313811585e-05,1.082791914086556e-05,1.2600414265762083e-05,269.8511047363281,1.3308981294812838e-07
noresm1-m_rcp26,2,9.273236173612531e-06,1.0710878086683806e-06,7.908528459665831e-06,249.5092010498047,2.936206726644741e-07
noresm1-m_rcp26,3,2.6207433620584197e-05,1.1833323696919251e-05,1.4278140042733867e-05,270.00396728515625,9.597195571586781e-08
noresm1-m_rcp26,4,1.8006767277256586e-05,6.070587801332294e-07,1.6834157577250153e-05,248.00807189941406,5.655502945955959e-07
noresm1-m_rcp26,5,9.339747521153186e-06,4.472269381494698e-07,8.604463801020756e-06,245.55636596679688,2.880575777908234e-07
noresm1-m_rcp26,6,3.294582256785361e-06,7.010337981228076e-07,2.4673474854353117e-06,232.4650421142578,1.262009021729682e-07
noresm1-m_rcp26,7,2.235555621155072e-05,6.274836323427735e-06,1.599692041054368e-05,258.4431457519531,8.379839044891924e-08
noresm1-m_rcp26,8,1.877058093668893e-05,6.582060450455174e-06,1.2055592378601432e-05,253.75057983398438,1.329268002336903e-07
noresm1-m_rcp26,9,6.386751920217648e-06,2.0861521079496015e-06,4.240067482896848e-06,238.5124053955078,6.053249279602824e-08
noresm1-m_rcp26,10,1.2796582268492784e-05,3.7661609439965105e-06,8.840141163091175e-06,253.6331787109375,1.9028158249057014e-07
