year,sectors,ctrl_sle,modelname,ocean_forcing
2016,1,134.25607,JPL1_ISSM,Standard
2017,1,134.1716,JPL1_ISSM,Standard
2018,1,134.09311,JPL1_ISSM,Standard
2019,1,134.02129,JPL1_ISSM,Standard
2020,1,133.95615,JPL1_ISSM,Standard
2021,1,133.89497,JPL1_ISSM,Standard
2022,1,133.83774,JPL1_ISSM,Standard
2023,1,133.78223,JPL1_ISSM,Standard
2024,1,133.72797,JPL1_ISSM,Standard
2025,1,133.67479,JPL1_ISSM,Standard
2026,1,133.62239,JPL1_ISSM,Standard
2027,1,133.57117,JPL1_ISSM,Standard
2028,1,133.52116,JPL1_ISSM,Standard
2029,1,133.47227,JPL1_ISSM,Standard
2030,1,133.42484,JPL1_ISSM,Standard
2031,1,133.3789,JPL1_ISSM,Standard
2032,1,133.33353,JPL1_ISSM,Standard
2033,1,133.28905,JPL1_ISSM,Standard
2034,1,133.24533,JPL1_ISSM,Standard
2035,1,133.20209,JPL1_ISSM,Standard
2036,1,133.1594,JPL1_ISSM,Standard
2037,1,133.11755,JPL1_ISSM,Standard
2038,1,133.07774,JPL1_ISSM,Standard
2039,1,133.03859,JPL1_ISSM,Standard
2040,1,133.00049,JPL1_ISSM,Standard
2041,1,132.96338,JPL1_ISSM,Standard
2042,1,132.9273,JPL1_ISSM,Standard
2043,1,132.89287,JPL1_ISSM,Standard
2044,1,132.85884,JPL1_ISSM,Standard
2045,1,132.82521,JPL1_ISSM,Standard
2046,1,132.7922,JPL1_ISSM,Standard
2047,1,132.75952,JPL1_ISSM,Standard
2048,1,132.72736,JPL1_ISSM,Standard
2049,1,132.69543,JPL1_ISSM,Standard
2050,1,132.66386,JPL1_ISSM,Standard
2051,1,132.6328,JPL1_ISSM,Standard
2052,1,132.60208,JPL1_ISSM,Standard
2053,1,132.57161,JPL1_ISSM,Standard
2054,1,132.5414,JPL1_ISSM,Standard
2055,1,132.51146,JPL1_ISSM,Standard
2056,1,132.48183,JPL1_ISSM,Standard
2057,1,132.4527,JPL1_ISSM,Standard
2058,1,132.42424,JPL1_ISSM,Standard
2059,1,132.39592,JPL1_ISSM,Standard
2060,1,132.36826,JPL1_ISSM,Standard
2061,1,132.34074,JPL1_ISSM,Standard
2062,1,132.31369,JPL1_ISSM,Standard
2063,1,132.28783,JPL1_ISSM,Standard
2064,1,132.26207,JPL1_ISSM,Standard
2065,1,132.23639,JPL1_ISSM,Standard
2066,1,132.21071,JPL1_ISSM,Standard
2067,1,132.18495,JPL1_ISSM,Standard
2068,1,132.15923,JPL1_ISSM,Standard
2069,1,132.1337,JPL1_ISSM,Standard
2070,1,132.10843,JPL1_ISSM,Standard
2071,1,132.08363,JPL1_ISSM,Standard
2072,1,132.05896,JPL1_ISSM,Standard
2073,1,132.03464,JPL1_ISSM,Standard
2074,1,132.01128,JPL1_ISSM,Standard
2075,1,131.98788,JPL1_ISSM,Standard
2076,1,131.96442,JPL1_ISSM,Standard
2077,1,131.94098,JPL1_ISSM,Standard
2078,1,131.91782,JPL1_ISSM,Standard
