,model,aogcm,exp,Scenario,true,pred,aleatoric,epistemic,total,mse,sector,year
0,AWI_ISSM1,miroc5_rcp85,exp05,rcp8.5,0.0,-0.0006179658,0.09198475,0.028643131,0.12062788,3.818817584447785e-07,-1.416973804157274,-1.7120264258353668
1,AWI_ISSM1,miroc5_rcp85,exp05,rcp8.5,-0.03578781299999978,-0.033280358,0.09415674,0.051231384,0.14538813,6.2873319888830584e-06,-1.416973804157274,-1.6717434511098288
2,AWI_ISSM1,miroc5_rcp85,exp05,rcp8.5,-0.0432514700000004,-0.04335116,0.11024809,0.03391409,0.14416218,9.937796975888067e-09,-1.416973804157274,-1.6314604763842906
3,AWI_ISSM1,miroc5_rcp85,exp05,rcp8.5,-0.03904907799999968,-0.0912175,0.10769844,0.04497814,0.15267658,0.002721544561933051,-1.416973804157274,-1.5911775016587526
4,AWI_ISSM1,miroc5_rcp85,exp05,rcp8.5,-0.09448337999999978,-0.13927649,0.09470844,0.048398018,0.14310646,0.002006422669020876,-1.416973804157274,-1.5508945269332146
5,AWI_ISSM1,miroc5_rcp85,exp05,rcp8.5,-0.14777898999999994,-0.17414616,0.11287594,0.05645466,0.1693306,0.0006952276792985891,-1.416973804157274,-1.5106115522076766
6,AWI_ISSM1,miroc5_rcp85,exp05,rcp8.5,-0.1771911399999997,-0.19474457,0.13596201,0.05426216,0.19022417,0.00030812297650293567,-1.416973804157274,-1.4703285774821384
7,AWI_ISSM1,miroc5_rcp85,exp05,rcp8.5,-0.2259326100000001,-0.20258807,0.14519453,0.051437378,0.19663191,0.0005449677131515582,-1.416973804157274,-1.4300456027566004
8,AWI_ISSM1,miroc5_rcp85,exp05,rcp8.5,-0.22523974000000013,-0.19594811,0.11188507,0.052446842,0.16433191,0.0008579996448402817,-1.416973804157274,-1.3897626280310624
9,AWI_ISSM1,miroc5_rcp85,exp05,rcp8.5,-0.27114406000000013,-0.21725653,0.13912964,0.05576992,0.19489956,0.0029038657688632663,-1.416973804157274,-1.3494796533055244
10,AWI_ISSM1,miroc5_rcp85,exp05,rcp8.5,-0.2597579699999999,-0.19492863,0.14291716,0.05477667,0.19769382,0.004202843170997471,-1.416973804157274,-1.3091966785799862
