,sectors,regions,year,aogcm,salinity,temperature,thermal_forcing,pr_anomaly,evspsbl_anomaly,mrro_anomaly,smb_anomaly,ts_anomaly,ivol,groupname,modelname,exp_id,rhoi,rhow,smbgr,ivaf,icearea,iareafl,bmbfl,iareagr,smb,experiment,scenario,ocean_forcing,ocean_sensitivity,ice_shelf_fracture,tier
0,1.0,1.0,2015,miroc_esm_chem_rcp85,34.535583,1.4299415,4.0226765,1.990871e-06,-2.5957792e-07,-2.7362484e-11,2.2504762e-06,0.4407728,,JPL1,ISSM,exp06,917.0,1023.0,-37535.5,,,,-208720.19,,-35285.08,6,rcp8.5,Standard,Medium,False,1
1,1.0,1.0,2015,miroc_esm_chem_rcp85,34.535583,1.4299415,4.0226765,1.990871e-06,-2.5957792e-07,-2.7362484e-11,2.2504762e-06,0.4407728,,VUB,AISMPALEO,exp06,910.0,1028.0,-0.090381116,,,,0.00047287872,,0.061816074,6,rcp8.5,Standard,Medium,False,1
2,1.0,1.0,2015,miroc_esm_chem_rcp85,34.535583,1.4299415,4.0226765,1.990871e-06,-2.5957792e-07,-2.7362484e-11,2.2504762e-06,0.4407728,,NCAR,CISM,exp06,910.0,1026.0,0.03021976,,,,-0.0072519374,,-0.012311434,6,rcp8.5,Standard,Medium,False,1
3,1.0,1.0,2015,miroc_esm_chem_rcp85,34.535583,1.4299415,4.0226765,1.990871e-06,-2.5957792e-07,-2.7362484e-11,2.2504762e-06,0.4407728,,NCAR,CISM,exp02,910.0,1026.0,-0.11490874,,,,-0.0025087977,,0.09410701,2,rcp8.5,Open,Medium,False,1
4,1.0,1.0,2015,miroc_esm_chem_rcp85,34.535583,1.4299415,4.0226765,1.990871e-06,-2.5957792e-07,-2.7362484e-11,2.2504762e-06,0.4407728,,AWI,PISM1,exp06,910.0,1023.0,-58553.13,,,,-136458.62,,-67990.0,6,rcp8.5,Standard,Medium,False,1
5,1.0,1.0,2015,miroc_esm_chem_rcp85,34.535583,1.4299415,4.0226765,1.990871e-06,-2.5957792e-07,-2.7362484e-11,2.2504762e-06,0.4407728,,AWI,PISM1,exp02,910.0,1023.0,-58265.94,,,,313063.06,,-72571.88,2,rcp8.5,Open,Medium,False,1
6,1.0,1.0,2015,miroc_esm_chem_rcp85,34.535583,1.4299415,4.0226765,1.990871e-06,-2.5957792e-07,-2.7362484e-11,2.2504762e-06,0.4407728,,PIK,PISM1,exp02,910.0,1028.0,223679.31,,,,94806.66,,254878.77,2,rcp8.5,Open,Medium,False,1
7,1.0,1.0,2015,miroc_esm_chem_rcp85,34.535583,1.4299415,4.0226765,1.990871e-06,-2.5957792e-07,-2.7362484e-11,2.2504762e-06,0.4407728,,PIK,PISM2,exp02,910.0,1028.0,231688.67,,,,125944.98,,279826.2,2,rcp8.5,Open,Medium,False,1
8,1.0,1.0,2015,miroc_esm_chem_rcp85,34.535583,1.4299415,4.0226765,1.990871e-06,-2.5957792e-07,-2.7362484e-11,2.2504762e-06,0.4407728,,UTAS,ElmerIce,exp06,900.0,1025.0,237640.78,,,,0.0019822926,,330312.38,6,rcp8.5,Standard,Medium,False,1
9,1.0,1.0,2015,miroc_esm_chem_rcp85,34.535583,1.4299415,4.0226765,1.990871e-06,-2.5957792e-07,-2.7362484e-11,2.2504762e-06,0.4407728,,UCIJPL,ISSM,exp06,917.0,1023.0,-22658.488,,,,-384645.84,,-44570.086,6,rcp8.5,Standard,Medium,False,1
10,1.0,1.0,2015,miroc_esm_chem_rcp85,34.535583,1.4299415,4.0226765,1.990871e-06,-2.5957792e-07,-2.7362484e-11,2.2504762e-06,0.4407728,,UCIJPL,ISSM,exp02,917.0,1023.0,-42205.62,,,,-97478.7,,-44570.086,2,rcp8.5,Open,Medium,False,1
11,1.0,1.0,2015,miroc_esm_chem_rcp85,34.535583,1.4299415,4.0226765,1.990871e-06,-2.5957792e-07,-2.7362484e-11,2.2504762e-06,0.4407728,,VUW,PISM,exp02,910.0,1028.0,0.096921846,,,,0.05770408,,0.06529262,2,rcp8.5,Open,Medium,False,1
12,1.0,1.0,2015,miroc_esm_chem_rcp85,34.535583,1.4299415,4.0226765,1.990871e-06,-2.5957792e-07,-2.7362484e-11,2.2504762e-06,0.4407728,,ULB,fETISh_32km,exp06,910.0,1028.0,-53682.625,,,,-177129.52,,-75457.66,6,rcp8.5,Standard,Medium,False,1
13,1.0,1.0,2015,miroc_esm_chem_rcp85,34.535583,1.4299415,4.0226765,1.990871e-06,-2.5957792e-07,-2.7362484e-11,2.2504762e-06,0.4407728,,ULB,fETISh_32km,exp02,910.0,1028.0,-53682.625,,,,3152723.2,,-76762.336,2,rcp8.5,Open,Medium,False,1
14,1.0,1.0,2015,miroc_esm_chem_rcp85,34.535583,1.4299415,4.0226765,1.990871e-06,-2.5957792e-07,-2.7362484e-11,2.2504762e-06,0.4407728,,ULB,fETISh_16km,exp06,910.0,1028.0,-53040.883,,,,-396533.62,,-62641.52,6,rcp8.5,Standard,Medium,False,1
