,thermal_forcing,sector,aogcm,year,basin_runoff
0,2.4966483,1.0,access1.3_rcp85,1,0.010891914
1,2.4999557,1.0,access1.3_rcp85,2,0.008479627
2,2.5352323,1.0,access1.3_rcp85,3,0.015232948
3,2.4858572,1.0,access1.3_rcp85,4,0.013181769
4,2.4749827,1.0,access1.3_rcp85,5,0.007834021
5,2.4762359,1.0,access1.3_rcp85,6,0.012241254
6,2.493799,1.0,access1.3_rcp85,7,0.01459732
7,2.51631,1.0,access1.3_rcp85,8,0.017588194
8,2.5228868,1.0,access1.3_rcp85,9,0.009863124
9,2.5567503,1.0,access1.3_rcp85,10,0.008109302
10,2.5448246,1.0,access1.3_rcp85,11,0.015747506
11,2.5453908,1.0,access1.3_rcp85,12,0.009209931
12,2.538924,1.0,access1.3_rcp85,13,0.01499277
13,2.5847056,1.0,access1.3_rcp85,14,0.02223932
14,2.5747867,1.0,access1.3_rcp85,15,0.010349368
15,2.5602455,1.0,access1.3_rcp85,16,0.0075573716
16,2.5308874,1.0,access1.3_rcp85,17,0.015725395
17,2.55526,1.0,access1.3_rcp85,18,0.020606061
18,2.5988429,1.0,access1.3_rcp85,19,0.009770846
19,2.5346315,1.0,access1.3_rcp85,20,0.020295426
20,2.5208535,1.0,access1.3_rcp85,21,0.018120049
21,2.5347738,1.0,access1.3_rcp85,22,0.013430246
22,2.603853,1.0,access1.3_rcp85,23,0.01869597
23,2.5423052,1.0,access1.3_rcp85,24,0.012255085
24,2.5738676,1.0,access1.3_rcp85,25,0.009454426
25,2.5759351,1.0,access1.3_rcp85,26,0.018130435
26,2.5756118,1.0,access1.3_rcp85,27,0.027537858
27,2.551118,1.0,access1.3_rcp85,28,0.021115981
28,2.5812964,1.0,access1.3_rcp85,29,0.0169884
29,2.6014917,1.0,access1.3_rcp85,30,0.019226102
30,2.5974848,1.0,access1.3_rcp85,31,0.027301384
31,2.7153547,1.0,access1.3_rcp85,32,0.011526624
32,2.6008387,1.0,access1.3_rcp85,33,0.011717699
33,2.6414633,1.0,access1.3_rcp85,34,0.025648009
34,2.6249778,1.0,access1.3_rcp85,35,0.01822836
35,2.621732,1.0,access1.3_rcp85,36,0.026079483
36,2.5908344,1.0,access1.3_rcp85,37,0.017940463
37,2.7343252,1.0,access1.3_rcp85,38,0.015284367
