sectors,year,temperature,regions,aogcm
1.0,1995,1.3798978,1.0,miroc-esm-chem_rcp8.5
1.0,1996,1.4026175,1.0,miroc-esm-chem_rcp8.5
1.0,1997,1.3986478,1.0,miroc-esm-chem_rcp8.5
1.0,1998,1.4042501,1.0,miroc-esm-chem_rcp8.5
1.0,1999,1.401344,1.0,miroc-esm-chem_rcp8.5
1.0,2000,1.4050857,1.0,miroc-esm-chem_rcp8.5
1.0,2001,1.3926576,1.0,miroc-esm-chem_rcp8.5
1.0,2002,1.3776988,1.0,miroc-esm-chem_rcp8.5
1.0,2003,1.3710363,1.0,miroc-esm-chem_rcp8.5
1.0,2004,1.3804178,1.0,miroc-esm-chem_rcp8.5
1.0,2005,1.387703,1.0,miroc-esm-chem_rcp8.5
1.0,2006,1.3875277,1.0,miroc-esm-chem_rcp8.5
1.0,2007,1.3922408,1.0,miroc-esm-chem_rcp8.5
1.0,2008,1.4086796,1.0,miroc-esm-chem_rcp8.5
1.0,2009,1.4095808,1.0,miroc-esm-chem_rcp8.5
1.0,2010,1.4135433,1.0,miroc-esm-chem_rcp8.5
1.0,2011,1.4285505,1.0,miroc-esm-chem_rcp8.5
1.0,2012,1.436439,1.0,miroc-esm-chem_rcp8.5
1.0,2013,1.4420112,1.0,miroc-esm-chem_rcp8.5
1.0,2014,1.4258384,1.0,miroc-esm-chem_rcp8.5
1.0,2015,1.4299415,1.0,miroc-esm-chem_rcp8.5
1.0,2016,1.4365959,1.0,miroc-esm-chem_rcp8.5
1.0,2017,1.4404234,1.0,miroc-esm-chem_rcp8.5
1.0,2018,1.4262067,1.0,miroc-esm-chem_rcp8.5
1.0,2019,1.4316825,1.0,miroc-esm-chem_rcp8.5
1.0,2020,1.4425687,1.0,miroc-esm-chem_rcp8.5
1.0,2021,1.4402548,1.0,miroc-esm-chem_rcp8.5
1.0,2022,1.4532468,1.0,miroc-esm-chem_rcp8.5
1.0,2023,1.4616351,1.0,miroc-esm-chem_rcp8.5
1.0,2024,1.458237,1.0,miroc-esm-chem_rcp8.5
1.0,2025,1.4705442,1.0,miroc-esm-chem_rcp8.5
1.0,2026,1.4750524,1.0,miroc-esm-chem_rcp8.5
1.0,2027,1.5036502,1.0,miroc-esm-chem_rcp8.5
1.0,2028,1.5097773,1.0,miroc-esm-chem_rcp8.5
1.0,2029,1.5006274,1.0,miroc-esm-chem_rcp8.5
1.0,2030,1.501935,1.0,miroc-esm-chem_rcp8.5
1.0,2031,1.5018363,1.0,miroc-esm-chem_rcp8.5
1.0,2032,1.5186728,1.0,miroc-esm-chem_rcp8.5
1.0,2033,1.509498,1.0,miroc-esm-chem_rcp8.5
1.0,2034,1.518383,1.0,miroc-esm-chem_rcp8.5
1.0,2035,1.4995736,1.0,miroc-esm-chem_rcp8.5
1.0,2036,1.4998589,1.0,miroc-esm-chem_rcp8.5
1.0,2037,1.5169882,1.0,miroc-esm-chem_rcp8.5
1.0,2038,1.529708,1.0,miroc-esm-chem_rcp8.5
1.0,2039,1.5245886,1.0,miroc-esm-chem_rcp8.5
1.0,2040,1.5183764,1.0,miroc-esm-chem_rcp8.5
1.0,2041,1.536211,1.0,miroc-esm-chem_rcp8.5
1.0,2042,1.531318,1.0,miroc-esm-chem_rcp8.5
1.0,2043,1.5383081,1.0,miroc-esm-chem_rcp8.5
1.0,2044,1.537397,1.0,miroc-esm-chem_rcp8.5
1.0,2045,1.5421846,1.0,miroc-esm-chem_rcp8.5
1.0,2046,1.5503658,1.0,miroc-esm-chem_rcp8.5
1.0,2047,1.5527815,1.0,miroc-esm-chem_rcp8.5
1.0,2048,1.5485494,1.0,miroc-esm-chem_rcp8.5
