sectors,year,pr_anomaly,evspsbl_anomaly,mrro_anomaly,smb_anomaly,ts_anomaly,regions,aogcm
1.0,1995.0,-1.2012988e-06,-6.880428e-08,-7.697258e-11,-1.1324175e-06,0.66341466,1.0,noresm1-m_rcp8.5
1.0,1996.0,-4.290637e-08,-1.9103824e-08,4.600992e-11,-2.3848553e-08,-0.6072541,1.0,noresm1-m_rcp8.5
1.0,1997.0,-3.384802e-07,-3.6126572e-08,-2.4796415e-10,-3.0210563e-07,-1.1229008,1.0,noresm1-m_rcp8.5
1.0,1998.0,-1.7296867e-06,-3.8851155e-07,6.146684e-11,-1.3412366e-06,-1.1754313,1.0,noresm1-m_rcp8.5
1.0,1999.0,-3.4243214e-07,2.0536145e-07,8.305688e-12,-5.478019e-07,-1.0655867,1.0,noresm1-m_rcp8.5
1.0,2000.0,1.1558966e-07,-7.9271054e-08,7.284347e-13,1.9485998e-07,-0.98645586,1.0,noresm1-m_rcp8.5
1.0,2001.0,-1.226595e-07,-7.652483e-07,2.1953239e-10,6.423693e-07,-1.1614877,1.0,noresm1-m_rcp8.5
1.0,2002.0,-5.269718e-07,6.4947486e-08,1.3366948e-10,-5.9205297e-07,0.24171169,1.0,noresm1-m_rcp8.5
1.0,2003.0,1.7335381e-07,-7.157035e-07,1.6211107e-10,8.888952e-07,1.4279928,1.0,noresm1-m_rcp8.5
1.0,2004.0,-1.640803e-06,5.2184015e-07,1.9408909e-10,-2.1628373e-06,0.34098667,1.0,noresm1-m_rcp8.5
1.0,2005.0,8.4605466e-07,3.2362635e-07,8.69557e-11,5.2234134e-07,-0.053062156,1.0,noresm1-m_rcp8.5
1.0,2006.0,1.4749373e-06,-4.6623566e-07,-8.092237e-11,1.941254e-06,1.5316516,1.0,noresm1-m_rcp8.5
1.0,2007.0,-8.333056e-07,1.7652798e-07,1.5760833e-10,-1.0099911e-06,-0.44587195,1.0,noresm1-m_rcp8.5
1.0,2008.0,-1.125589e-08,-2.6388892e-07,-1.130635e-10,2.527461e-07,-0.2965414,1.0,noresm1-m_rcp8.5
1.0,2009.0,6.349072e-07,2.7531303e-07,-2.9968322e-10,3.5989385e-07,2.2162788,1.0,noresm1-m_rcp8.5
1.0,2010.0,-1.4376153e-07,5.6493565e-07,9.304512e-11,-7.087902e-07,-0.3839575,1.0,noresm1-m_rcp8.5
1.0,2011.0,9.882588e-07,-1.4435508e-07,-8.654943e-11,1.1327004e-06,0.3006497,1.0,noresm1-m_rcp8.5
1.0,2012.0,1.0559969e-06,-1.9325543e-07,-8.472221e-11,1.2493371e-06,0.046691593,1.0,noresm1-m_rcp8.5
1.0,2013.0,1.3142446e-06,7.484863e-07,-1.747714e-10,5.6593314e-07,1.3489337,1.0,noresm1-m_rcp8.5
1.0,2014.0,3.3021843e-07,2.5946582e-07,1.1273156e-12,7.0751454e-08,-0.8197537,1.0,noresm1-m_rcp8.5
1.0,2015.0,1.7626927e-06,1.665752e-07,-1.4276565e-10,1.5962603e-06,1.0952185,1.0,noresm1-m_rcp8.5
1.0,2016.0,5.0566086e-07,4.190969e-07,2.409443e-10,8.6323e-08,-1.022517,1.0,noresm1-m_rcp8.5
1.0,2017.0,6.9679425e-07,7.161002e-07,-8.799649e-11,-1.921793e-08,0.035341103,1.0,noresm1-m_rcp8.5
1.0,2018.0,-4.087972e-07,1.9804565e-07,-4.2574045e-11,-6.0680026e-07,-0.74019873,1.0,noresm1-m_rcp8.5
1.0,2019.0,-1.4283111e-07,2.3866465e-07,1.1989333e-10,-3.8161568e-07,1.5304874,1.0,noresm1-m_rcp8.5
1.0,2020.0,1.3311206e-06,9.0199126e-07,-2.6606705e-11,4.2915596e-07,1.5393121,1.0,noresm1-m_rcp8.5
1.0,2021.0,4.411058e-07,-5.7711713e-07,-3.3202836e-11,1.0182562e-06,0.46136802,1.0,noresm1-m_rcp8.5
1.0,2022.0,3.1597523e-07,2.986465e-07,-2.7353014e-10,1.7602249e-08,0.02933901,1.0,noresm1-m_rcp8.5
1.0,2023.0,-3.457029e-08,-6.8968056e-08,9.594313e-11,3.4301824e-08,-0.32454792,1.0,noresm1-m_rcp8.5
1.0,2024.0,3.1700554e-07,-4.1285375e-07,-2.3842048e-10,7.300977e-07,-0.302609,1.0,noresm1-m_rcp8.5
1.0,2025.0,2.766996e-07,1.8831666e-07,-2.7696637e-10,8.865992e-08,0.98134434,1.0,noresm1-m_rcp8.5
1.0,2026.0,4.1696953e-07,2.3071348e-07,4.8328676e-12,1.8625121e-07,-0.2547799,1.0,noresm1-m_rcp8.5
1.0,2027.0,3.0502645e-07,3.3094432e-07,7.606438e-11,-2.5993932e-08,-1.3549525,1.0,noresm1-m_rcp8.5
1.0,2028.0,1.6654999e-06,5.4692026e-07,-1.8357166e-10,1.1187632e-06,-0.11818086,1.0,noresm1-m_rcp8.5
1.0,2029.0,2.080789e-06,7.6682437e-07,-2.3134699e-11,1.3139878e-06,0.9406678,1.0,noresm1-m_rcp8.5
1.0,2030.0,-2.166755e-07,3.4017248e-07,3.7820955e-11,-5.568858e-07,0.31267908,1.0,noresm1-m_rcp8.5
1.0,2031.0,-3.9950768e-07,-5.190679e-07,1.6948563e-10,1.1939073e-07,-0.8430555,1.0,noresm1-m_rcp8.5
1.0,2032.0,1.2240913e-06,-3.622184e-07,4.8946073e-11,1.5862607e-06,-0.7994119,1.0,noresm1-m_rcp8.5
1.0,2033.0,8.817116e-07,7.055266e-08,1.5694262e-12,8.111574e-07,-0.81525767,1.0,noresm1-m_rcp8.5
1.0,2034.0,2.0061586e-06,2.2466791e-07,-2.7775895e-10,1.7817684e-06,1.545611,1.0,noresm1-m_rcp8.5
1.0,2035.0,-7.982441e-07,-3.3579272e-07,-4.134799e-12,-4.6244728e-07,0.93290323,1.0,noresm1-m_rcp8.5
1.0,2036.0,2.5506683e-06,-2.4168862e-08,3.827744e-12,2.5748334e-06,0.9701076,1.0,noresm1-m_rcp8.5
1.0,2037.0,1.8514684e-06,1.621103e-07,3.8311937e-11,1.6893198e-06,0.7058651,1.0,noresm1-m_rcp8.5
1.0,2038.0,7.681471e-07,3.501513e-07,-5.1190344e-11,4.18047e-07,-0.4073778,1.0,noresm1-m_rcp8.5
1.0,2039.0,2.3293035e-06,-5.157052e-07,-1.5126206e-10,2.84516e-06,1.2632103,1.0,noresm1-m_rcp8.5
1.0,2040.0,1.4105666e-07,5.35643e-07,1.1129564e-10,-3.946976e-07,-0.13559097,1.0,noresm1-m_rcp8.5
1.0,2041.0,1.1758037e-07,-5.009013e-07,-5.929587e-11,6.18541e-07,0.0027650855,1.0,noresm1-m_rcp8.5
1.0,2042.0,-4.9678124e-07,-4.7243316e-07,2.4057328e-10,-2.4588651e-08,-0.8839105,1.0,noresm1-m_rcp8.5
1.0,2043.0,3.224078e-06,2.5081786e-07,-1.1137119e-11,2.9732712e-06,0.8994775,1.0,noresm1-m_rcp8.5
1.0,2044.0,2.9869161e-06,3.0725568e-07,-1.9347e-10,2.6798539e-06,1.4968038,1.0,noresm1-m_rcp8.5
1.0,2045.0,1.8588346e-06,1.07082506e-07,-2.8671157e-11,1.7517808e-06,0.05816761,1.0,noresm1-m_rcp8.5
1.0,2046.0,1.8064785e-06,4.0628493e-08,7.2407455e-11,1.7657777e-06,0.32039392,1.0,noresm1-m_rcp8.5
1.0,2047.0,-1.0788003e-06,2.321753e-07,-2.3550162e-10,-1.3107401e-06,-0.61177063,1.0,noresm1-m_rcp8.5
1.0,2048.0,2.657735e-06,-4.5307542e-07,-2.557054e-10,3.111066e-06,0.36972642,1.0,noresm1-m_rcp8.5
