,sectors,regions,year,aogcm,salinity,temperature,thermal_forcing,pr_anomaly,evspsbl_anomaly,mrro_anomaly,smb_anomaly,ts_anomaly
0,1.0,1.0,1995,miroc_esm_chem_rcp85,34.536545,1.3798978,3.9726872,-4.6215226e-07,-1.0007266e-06,-2.5556736e-11,5.385999e-07,-1.1322241
1,1.0,1.0,1996,miroc_esm_chem_rcp85,34.53386,1.4026175,3.9952536,-7.548112e-08,5.026914e-07,-2.8900332e-11,-5.781436e-07,1.2159301
2,1.0,1.0,1997,miroc_esm_chem_rcp85,34.53577,1.3986478,3.9913929,-1.3377978e-07,1.3610772e-08,-2.6550628e-11,-1.47364e-07,-0.78521913
3,1.0,1.0,1998,miroc_esm_chem_rcp85,34.53347,1.4042501,3.9968672,3.586307e-07,4.7339554e-07,-2.7565067e-11,-1.1473726e-07,0.59799737
4,1.0,1.0,1999,miroc_esm_chem_rcp85,34.534,1.401344,3.9940279,-6.247416e-07,2.1238e-08,1.6947471e-11,-6.459965e-07,-0.6089179
5,1.0,1.0,2000,miroc_esm_chem_rcp85,34.534607,1.4050857,3.9977643,4.6560902e-07,-2.895834e-07,-2.7860646e-11,7.552203e-07,-0.54985386
6,1.0,1.0,2001,miroc_esm_chem_rcp85,34.53873,1.3926576,3.9856248,-5.126062e-07,-8.4802684e-07,-2.8098076e-11,3.3544873e-07,-1.6208956
7,1.0,1.0,2002,miroc_esm_chem_rcp85,34.54279,1.3776988,3.9708521,-5.877927e-07,-9.5487145e-08,-2.7809928e-11,-4.9227776e-07,-0.45227304
8,1.0,1.0,2003,miroc_esm_chem_rcp85,34.54122,1.3710363,3.9640973,-1.2477691e-06,-2.50429e-07,5.048304e-11,-9.973905e-07,-0.5460837
9,1.0,1.0,2004,miroc_esm_chem_rcp85,34.539906,1.3804178,3.9734538,-9.549649e-07,-3.069119e-07,-2.9288485e-11,-6.4802373e-07,-0.16371737
10,1.0,1.0,2005,miroc_esm_chem_rcp85,34.53576,1.387703,3.9810476,-1.6276299e-06,4.3453807e-07,8.334747e-11,-2.0622513e-06,-0.6473261
11,1.0,1.0,2006,miroc_esm_chem_rcp85,34.53791,1.3875277,3.981133,8.6518963e-07,-2.3016419e-07,-2.909742e-11,1.0953829e-06,-0.34683585
12,1.0,1.0,2007,miroc_esm_chem_rcp85,34.536995,1.3922408,3.9853494,-7.1061515e-07,-7.1616915e-07,-2.5882895e-11,5.5799196e-09,-0.8274219
13,1.0,1.0,2008,miroc_esm_chem_rcp85,34.53508,1.4086796,4.002372,1.145208e-07,4.0123373e-07,-2.7531519e-11,-2.866854e-07,0.53751296
14,1.0,1.0,2009,miroc_esm_chem_rcp85,34.539104,1.4095808,4.002526,1.0309475e-06,7.945734e-09,1.9271638e-11,1.0229825e-06,-0.8787442
15,1.0,1.0,2010,miroc_esm_chem_rcp85,34.53872,1.4135433,4.0064573,3.382707e-07,-2.4219332e-07,-2.7351737e-11,5.8049136e-07,0.79840946
16,1.0,1.0,2011,miroc_esm_chem_rcp85,34.53602,1.4285505,4.0213103,1.6415842e-06,6.304544e-07,7.634394e-11,1.0110535e-06,2.0802984
17,1.0,1.0,2012,miroc_esm_chem_rcp85,34.536057,1.436439,4.029201,1.389304e-06,7.9679546e-07,-2.799249e-11,5.925365e-07,1.6032999
18,1.0,1.0,2013,miroc_esm_chem_rcp85,34.534206,1.4420112,4.034668,8.660903e-07,6.0422906e-07,-2.6610972e-11,2.618879e-07,1.3611227
19,1.0,1.0,2014,miroc_esm_chem_rcp85,34.53125,1.4258384,4.0183263,-1.3261541e-07,9.355944e-08,1.3970337e-10,-2.2631457e-07,0.36492124
20,1.0,1.0,2015,miroc_esm_chem_rcp85,34.535583,1.4299415,4.0226765,1.990871e-06,-2.5957792e-07,-2.7362484e-11,2.2504762e-06,0.4407728
21,1.0,1.0,2016,miroc_esm_chem_rcp85,34.53527,1.4365959,4.029313,1.7127984e-07,1.8769542e-07,-1.9417111e-12,-1.6413638e-08,0.86899704
22,1.0,1.0,2017,miroc_esm_chem_rcp85,34.537193,1.4404234,4.03325,7.779273e-07,3.419377e-08,6.2945326e-12,7.4372724e-07,0.12499684
23,1.0,1.0,2018,miroc_esm_chem_rcp85,34.53853,1.4262067,4.0191097,2.2330104e-07,-2.1081865e-07,1.2129664e-10,4.339984e-07,-0.069512285
24,1.0,1.0,2019,miroc_esm_chem_rcp85,34.5372,1.4316825,4.02451,1.7758667e-06,2.4099964e-07,9.949096e-11,1.5347675e-06,2.2178667
25,1.0,1.0,2020,miroc_esm_chem_rcp85,34.541985,1.4425687,4.035669,4.448644e-07,1.5189795e-07,1.1476884e-11,2.9295498e-07,1.2406167
26,1.0,1.0,2021,miroc_esm_chem_rcp85,34.538677,1.4402548,4.0331664,1.2750259e-06,-1.874801e-07,1.4245997e-10,1.4623635e-06,1.1928093
27,1.0,1.0,2022,miroc_esm_chem_rcp85,34.53885,1.4532468,4.0461683,1.1533182e-06,1.5566522e-07,1.42808395e-11,9.976387e-07,0.8072628
28,1.0,1.0,2023,miroc_esm_chem_rcp85,34.540382,1.4616351,4.0546446,-1.5261108e-07,3.916336e-07,1.0794655e-10,-5.4435264e-07,1.3970029
29,1.0,1.0,2024,miroc_esm_chem_rcp85,34.541702,1.458237,4.0513215,8.166058e-07,8.277061e-09,-8.455355e-12,8.083372e-07,1.38053
30,1.0,1.0,2025,miroc_esm_chem_rcp85,34.54236,1.4705442,4.063666,3.9683894e-07,8.2597904e-07,-2.6925953e-11,-4.2911316e-07,1.9099286
31,1.0,1.0,2026,miroc_esm_chem_rcp85,34.53855,1.4750524,4.067957,1.9180222e-06,2.7824743e-07,-2.7875821e-11,1.6398027e-06,2.4505625
32,1.0,1.0,2027,miroc_esm_chem_rcp85,34.535492,1.5036502,4.09638,1.7465412e-06,8.483572e-07,8.990675e-11,8.980941e-07,3.4132118
33,1.0,1.0,2028,miroc_esm_chem_rcp85,34.533833,1.5097773,4.1024127,2.0728974e-06,5.557747e-07,6.852872e-11,1.5170542e-06,2.0876703
34,1.0,1.0,2029,miroc_esm_chem_rcp85,34.53453,1.5006274,4.0933022,6.773154e-07,2.4545506e-07,5.3283763e-11,4.318071e-07,1.3291342
35,1.0,1.0,2030,miroc_esm_chem_rcp85,34.534462,1.501935,4.094606,7.2580923e-07,6.371368e-08,7.4292426e-11,6.6202125e-07,1.1866292
36,1.0,1.0,2031,miroc_esm_chem_rcp85,34.535248,1.5018363,4.0945525,6.422006e-07,-3.2725984e-07,-1.4146205e-11,9.694745e-07,1.0777524
37,1.0,1.0,2032,miroc_esm_chem_rcp85,34.53672,1.5186728,4.1114726,-2.5714598e-08,3.5551258e-07,-2.9435582e-11,-3.8119774e-07,0.7557434
38,1.0,1.0,2033,miroc_esm_chem_rcp85,34.536293,1.509498,4.102274,7.7756664e-07,1.3133648e-07,-2.5412264e-11,6.4625556e-07,0.38577873
39,1.0,1.0,2034,miroc_esm_chem_rcp85,34.53868,1.518383,4.1112947,-4.8451733e-07,4.4383748e-07,-2.7637441e-11,-9.283272e-07,0.690602
40,1.0,1.0,2035,miroc_esm_chem_rcp85,34.53993,1.4995736,4.0925565,-1.1573627e-07,9.156907e-08,2.755569e-11,-2.0733289e-07,0.6427051
41,1.0,1.0,2036,miroc_esm_chem_rcp85,34.54113,1.4998589,4.0929103,1.6378892e-06,6.5407114e-08,3.679901e-11,1.5724454e-06,0.2926406
42,1.0,1.0,2037,miroc_esm_chem_rcp85,34.538113,1.5169882,4.1098733,1.2203703e-06,1.8553804e-08,-2.7455106e-11,1.2018439e-06,1.9633887
43,1.0,1.0,2038,miroc_esm_chem_rcp85,34.54152,1.529708,4.1227818,1.6629969e-06,3.447886e-07,-2.6775722e-11,1.318235e-06,1.4939656
44,1.0,1.0,2039,miroc_esm_chem_rcp85,34.538834,1.5245886,4.1175094,-6.172486e-07,1.4916832e-07,-2.6690266e-11,-7.663902e-07,0.29177323
45,1.0,1.0,2040,miroc_esm_chem_rcp85,34.53713,1.5183764,4.1113796,1.0008513e-06,-4.3950402e-07,1.1204696e-10,1.4402432e-06,0.46567374
46,1.0,1.0,2041,miroc_esm_chem_rcp85,34.53861,1.536211,4.1291385,2.339764e-06,-1.4136938e-07,9.217494e-11,2.481041e-06,1.4766655
47,1.0,1.0,2042,miroc_esm_chem_rcp85,34.54077,1.531318,4.1244273,2.940094e-06,-3.7929595e-07,1.308491e-10,3.3192591e-06,0.5990798
48,1.0,1.0,2043,miroc_esm_chem_rcp85,34.543705,1.5383081,4.131508,2.4524356e-06,8.220606e-07,1.4476081e-10,1.6302301e-06,1.6620085
49,1.0,1.0,2044,miroc_esm_chem_rcp85,34.54388,1.537397,4.130606,7.749741e-07,2.1977092e-08,1.6984879e-10,7.528272e-07,1.5246755
50,1.0,1.0,2045,miroc_esm_chem_rcp85,34.540997,1.5421846,4.135251,1.3884949e-06,7.105271e-07,1.5052586e-11,6.7795276e-07,2.578898
51,1.0,1.0,2046,miroc_esm_chem_rcp85,34.54022,1.5503658,4.1433663,1.7314999e-06,2.402375e-07,9.270643e-11,1.4911697e-06,2.0665932
52,1.0,1.0,2047,miroc_esm_chem_rcp85,34.54246,1.5527815,4.14591,1.7030186e-06,4.8992655e-07,7.574381e-11,1.2130163e-06,1.5171332
53,1.0,1.0,2048,miroc_esm_chem_rcp85,34.54304,1.5485494,4.141711,2.6124333e-06,-4.6102633e-07,1.7695478e-10,3.0732826e-06,1.7597085
54,1.0,1.0,2049,miroc_esm_chem_rcp85,34.54332,1.5557266,4.1489043,2.155086e-06,2.2621128e-07,2.1067834e-10,1.9286638e-06,2.8171647
55,1.0,1.0,2050,miroc_esm_chem_rcp85,34.54444,1.5403618,4.133603,1.6462416e-06,5.792325e-08,2.896713e-10,1.5880287e-06,2.2819784
56,1.0,1.0,2051,miroc_esm_chem_rcp85,34.542362,1.546621,4.139744,3.2510417e-07,4.1750215e-07,1.4495354e-10,-9.254295e-08,1.4961154
57,1.0,1.0,2052,miroc_esm_chem_rcp85,34.54145,1.5656903,4.158761,3.1614418e-06,3.098743e-07,5.6240165e-11,2.8515112e-06,2.2680933
58,1.0,1.0,2053,miroc_esm_chem_rcp85,34.540386,1.575887,4.168897,8.478975e-07,7.0186314e-07,2.4815613e-10,1.4578625e-07,2.746559
59,1.0,1.0,2054,miroc_esm_chem_rcp85,34.540096,1.582794,4.1757874,2.6907026e-06,1.0444794e-07,1.395149e-10,2.586115e-06,2.447613
60,1.0,1.0,2055,miroc_esm_chem_rcp85,34.54059,1.5913074,4.184329,3.2092753e-09,-1.5353713e-07,1.2512541e-10,1.5662128e-07,0.8174083
61,1.0,1.0,2056,miroc_esm_chem_rcp85,34.541103,1.5783899,4.171441,2.063984e-06,-5.3293616e-07,2.7791e-10,2.5966424e-06,1.2792547
62,1.0,1.0,2057,miroc_esm_chem_rcp85,34.541683,1.5998487,4.1929326,1.3133177e-06,-2.7807752e-07,1.135484e-10,1.5912817e-06,2.5582902
63,1.0,1.0,2058,miroc_esm_chem_rcp85,34.54271,1.5983273,4.191472,4.1377734e-07,5.909247e-07,1.05941006e-10,-1.7725327e-07,1.5604575
64,1.0,1.0,2059,miroc_esm_chem_rcp85,34.54442,1.5922654,4.1855083,1.3406654e-06,-1.8174191e-07,2.9006772e-10,1.5221173e-06,2.2784677
65,1.0,1.0,2060,miroc_esm_chem_rcp85,34.546936,1.5988488,4.192233,1.5260697e-06,5.410911e-07,2.7219685e-10,9.847064e-07,1.7198926
66,1.0,1.0,2061,miroc_esm_chem_rcp85,34.550446,1.588601,4.1821876,1.8757308e-06,3.8793536e-07,5.8278674e-11,1.4877372e-06,1.8983083
67,1.0,1.0,2062,miroc_esm_chem_rcp85,34.549572,1.5790267,4.172565,1.9174367e-06,-5.061062e-07,8.074346e-12,2.4235349e-06,1.5959804
68,1.0,1.0,2063,miroc_esm_chem_rcp85,34.546204,1.5979931,4.191338,1.1698589e-07,6.4341146e-09,7.213732e-11,1.1047963e-07,2.319728
