sectors,year,salinity,regions,aogcm
1.0,1995,34.536545,1.0,miroc-esm-chem_rcp8.5
1.0,1996,34.53386,1.0,miroc-esm-chem_rcp8.5
1.0,1997,34.53577,1.0,miroc-esm-chem_rcp8.5
1.0,1998,34.53347,1.0,miroc-esm-chem_rcp8.5
1.0,1999,34.534,1.0,miroc-esm-chem_rcp8.5
1.0,2000,34.534607,1.0,miroc-esm-chem_rcp8.5
1.0,2001,34.53873,1.0,miroc-esm-chem_rcp8.5
1.0,2002,34.54279,1.0,miroc-esm-chem_rcp8.5
1.0,2003,34.54122,1.0,miroc-esm-chem_rcp8.5
1.0,2004,34.539906,1.0,miroc-esm-chem_rcp8.5
1.0,2005,34.53576,1.0,miroc-esm-chem_rcp8.5
1.0,2006,34.53791,1.0,miroc-esm-chem_rcp8.5
1.0,2007,34.536995,1.0,miroc-esm-chem_rcp8.5
1.0,2008,34.53508,1.0,miroc-esm-chem_rcp8.5
1.0,2009,34.539104,1.0,miroc-esm-chem_rcp8.5
1.0,2010,34.53872,1.0,miroc-esm-chem_rcp8.5
1.0,2011,34.53602,1.0,miroc-esm-chem_rcp8.5
1.0,2012,34.536057,1.0,miroc-esm-chem_rcp8.5
1.0,2013,34.534206,1.0,miroc-esm-chem_rcp8.5
1.0,2014,34.53125,1.0,miroc-esm-chem_rcp8.5
1.0,2015,34.535583,1.0,miroc-esm-chem_rcp8.5
1.0,2016,34.53527,1.0,miroc-esm-chem_rcp8.5
1.0,2017,34.537193,1.0,miroc-esm-chem_rcp8.5
1.0,2018,34.53853,1.0,miroc-esm-chem_rcp8.5
1.0,2019,34.5372,1.0,miroc-esm-chem_rcp8.5
1.0,2020,34.541985,1.0,miroc-esm-chem_rcp8.5
1.0,2021,34.538677,1.0,miroc-esm-chem_rcp8.5
1.0,2022,34.53885,1.0,miroc-esm-chem_rcp8.5
1.0,2023,34.540382,1.0,miroc-esm-chem_rcp8.5
1.0,2024,34.541702,1.0,miroc-esm-chem_rcp8.5
1.0,2025,34.54236,1.0,miroc-esm-chem_rcp8.5
1.0,2026,34.53855,1.0,miroc-esm-chem_rcp8.5
1.0,2027,34.535492,1.0,miroc-esm-chem_rcp8.5
1.0,2028,34.533833,1.0,miroc-esm-chem_rcp8.5
1.0,2029,34.53453,1.0,miroc-esm-chem_rcp8.5
1.0,2030,34.534462,1.0,miroc-esm-chem_rcp8.5
1.0,2031,34.535248,1.0,miroc-esm-chem_rcp8.5
1.0,2032,34.53672,1.0,miroc-esm-chem_rcp8.5
1.0,2033,34.536293,1.0,miroc-esm-chem_rcp8.5
1.0,2034,34.53868,1.0,miroc-esm-chem_rcp8.5
1.0,2035,34.53993,1.0,miroc-esm-chem_rcp8.5
1.0,2036,34.54113,1.0,miroc-esm-chem_rcp8.5
1.0,2037,34.538113,1.0,miroc-esm-chem_rcp8.5
1.0,2038,34.54152,1.0,miroc-esm-chem_rcp8.5
1.0,2039,34.538834,1.0,miroc-esm-chem_rcp8.5
1.0,2040,34.53713,1.0,miroc-esm-chem_rcp8.5
1.0,2041,34.53861,1.0,miroc-esm-chem_rcp8.5
1.0,2042,34.54077,1.0,miroc-esm-chem_rcp8.5
1.0,2043,34.543705,1.0,miroc-esm-chem_rcp8.5
1.0,2044,34.54388,1.0,miroc-esm-chem_rcp8.5
1.0,2045,34.540997,1.0,miroc-esm-chem_rcp8.5
1.0,2046,34.54022,1.0,miroc-esm-chem_rcp8.5
1.0,2047,34.54246,1.0,miroc-esm-chem_rcp8.5
1.0,2048,34.54304,1.0,miroc-esm-chem_rcp8.5
1.0,2049,34.54332,1.0,miroc-esm-chem_rcp8.5
1.0,2050,34.54444,1.0,miroc-esm-chem_rcp8.5
1.0,2051,34.542362,1.0,miroc-esm-chem_rcp8.5
1.0,2052,34.54145,1.0,miroc-esm-chem_rcp8.5
1.0,2053,34.540386,1.0,miroc-esm-chem_rcp8.5
1.0,2054,34.540096,1.0,miroc-esm-chem_rcp8.5
1.0,2055,34.54059,1.0,miroc-esm-chem_rcp8.5
1.0,2056,34.541103,1.0,miroc-esm-chem_rcp8.5
1.0,2057,34.541683,1.0,miroc-esm-chem_rcp8.5
1.0,2058,34.54271,1.0,miroc-esm-chem_rcp8.5
1.0,2059,34.54442,1.0,miroc-esm-chem_rcp8.5
1.0,2060,34.546936,1.0,miroc-esm-chem_rcp8.5
1.0,2061,34.550446,1.0,miroc-esm-chem_rcp8.5
1.0,2062,34.549572,1.0,miroc-esm-chem_rcp8.5
1.0,2063,34.546204,1.0,miroc-esm-chem_rcp8.5
1.0,2064,34.5464,1.0,miroc-esm-chem_rcp8.5
1.0,2065,34.54672,1.0,miroc-esm-chem_rcp8.5
1.0,2066,34.545338,1.0,miroc-esm-chem_rcp8.5
1.0,2067,34.547806,1.0,miroc-esm-chem_rcp8.5
1.0,2068,34.548645,1.0,miroc-esm-chem_rcp8.5
1.0,2069,34.547153,1.0,miroc-esm-chem_rcp8.5
1.0,2070,34.548233,1.0,miroc-esm-chem_rcp8.5
1.0,2071,34.54758,1.0,miroc-esm-chem_rcp8.5
1.0,2072,34.54749,1.0,miroc-esm-chem_rcp8.5
1.0,2073,34.550934,1.0,miroc-esm-chem_rcp8.5
1.0,2074,34.55454,1.0,miroc-esm-chem_rcp8.5
1.0,2075,34.557766,1.0,miroc-esm-chem_rcp8.5
1.0,2076,34.558422,1.0,miroc-esm-chem_rcp8.5
1.0,2077,34.559536,1.0,miroc-esm-chem_rcp8.5
1.0,2078,34.561054,1.0,miroc-esm-chem_rcp8.5
1.0,2079,34.562584,1.0,miroc-esm-chem_rcp8.5
1.0,2080,34.557945,1.0,miroc-esm-chem_rcp8.5
1.0,2081,34.55736,1.0,miroc-esm-chem_rcp8.5
1.0,2082,34.55595,1.0,miroc-esm-chem_rcp8.5
1.0,2083,34.5518,1.0,miroc-esm-chem_rcp8.5
1.0,2084,34.553608,1.0,miroc-esm-chem_rcp8.5
1.0,2085,34.552555,1.0,miroc-esm-chem_rcp8.5
1.0,2086,34.54977,1.0,miroc-esm-chem_rcp8.5
1.0,2087,34.552967,1.0,miroc-esm-chem_rcp8.5
1.0,2088,34.55482,1.0,miroc-esm-chem_rcp8.5
1.0,2089,34.5582,1.0,miroc-esm-chem_rcp8.5
1.0,2090,34.56073,1.0,miroc-esm-chem_rcp8.5
1.0,2091,34.55739,1.0,miroc-esm-chem_rcp8.5
1.0,2092,34.555252,1.0,miroc-esm-chem_rcp8.5
1.0,2093,34.558285,1.0,miroc-esm-chem_rcp8.5
1.0,2094,34.555008,1.0,miroc-esm-chem_rcp8.5
1.0,2095,34.551548,1.0,miroc-esm-chem_rcp8.5
1.0,2096,34.554916,1.0,miroc-esm-chem_rcp8.5
1.0,2097,34.557903,1.0,miroc-esm-chem_rcp8.5
1.0,2098,34.562454,1.0,miroc-esm-chem_rcp8.5
1.0,2099,34.563328,1.0,miroc-esm-chem_rcp8.5
1.0,2100,34.559834,1.0,miroc-esm-chem_rcp8.5
2.0,1995,34.5118,1.0,miroc-esm-chem_rcp8.5
2.0,1996,34.492916,1.0,miroc-esm-chem_rcp8.5
2.0,1997,34.470875,1.0,miroc-esm-chem_rcp8.5
2.0,1998,34.487488,1.0,miroc-esm-chem_rcp8.5
2.0,1999,34.488754,1.0,miroc-esm-chem_rcp8.5
2.0,2000,34.49197,1.0,miroc-esm-chem_rcp8.5
2.0,2001,34.496166,1.0,miroc-esm-chem_rcp8.5
2.0,2002,34.48959,1.0,miroc-esm-chem_rcp8.5
2.0,2003,34.47099,1.0,miroc-esm-chem_rcp8.5
2.0,2004,34.477352,1.0,miroc-esm-chem_rcp8.5
2.0,2005,34.493134,1.0,miroc-esm-chem_rcp8.5
2.0,2006,34.498405,1.0,miroc-esm-chem_rcp8.5
2.0,2007,34.487698,1.0,miroc-esm-chem_rcp8.5
2.0,2008,34.490295,1.0,miroc-esm-chem_rcp8.5
2.0,2009,34.471493,1.0,miroc-esm-chem_rcp8.5
2.0,2010,34.46698,1.0,miroc-esm-chem_rcp8.5
2.0,2011,34.470837,1.0,miroc-esm-chem_rcp8.5
2.0,2012,34.485466,1.0,miroc-esm-chem_rcp8.5
2.0,2013,34.486782,1.0,miroc-esm-chem_rcp8.5
2.0,2014,34.468407,1.0,miroc-esm-chem_rcp8.5
2.0,2015,34.466408,1.0,miroc-esm-chem_rcp8.5
2.0,2016,34.45075,1.0,miroc-esm-chem_rcp8.5
2.0,2017,34.458145,1.0,miroc-esm-chem_rcp8.5
2.0,2018,34.47491,1.0,miroc-esm-chem_rcp8.5
2.0,2019,34.47334,1.0,miroc-esm-chem_rcp8.5
2.0,2020,34.474632,1.0,miroc-esm-chem_rcp8.5
2.0,2021,34.462883,1.0,miroc-esm-chem_rcp8.5
2.0,2022,34.470295,1.0,miroc-esm-chem_rcp8.5
2.0,2023,34.465202,1.0,miroc-esm-chem_rcp8.5
2.0,2024,34.469116,1.0,miroc-esm-chem_rcp8.5
2.0,2025,34.473324,1.0,miroc-esm-chem_rcp8.5
2.0,2026,34.47239,1.0,miroc-esm-chem_rcp8.5
2.0,2027,34.46288,1.0,miroc-esm-chem_rcp8.5
2.0,2028,34.460815,1.0,miroc-esm-chem_rcp8.5
2.0,2029,34.46187,1.0,miroc-esm-chem_rcp8.5
2.0,2030,34.456146,1.0,miroc-esm-chem_rcp8.5
2.0,2031,34.460182,1.0,miroc-esm-chem_rcp8.5
2.0,2032,34.45296,1.0,miroc-esm-chem_rcp8.5
2.0,2033,34.437614,1.0,miroc-esm-chem_rcp8.5
2.0,2034,34.41254,1.0,miroc-esm-chem_rcp8.5
2.0,2035,34.43697,1.0,miroc-esm-chem_rcp8.5
2.0,2036,34.422897,1.0,miroc-esm-chem_rcp8.5
2.0,2037,34.429188,1.0,miroc-esm-chem_rcp8.5
2.0,2038,34.45258,1.0,miroc-esm-chem_rcp8.5
2.0,2039,34.436455,1.0,miroc-esm-chem_rcp8.5
2.0,2040,34.435734,1.0,miroc-esm-chem_rcp8.5
2.0,2041,34.429577,1.0,miroc-esm-chem_rcp8.5
2.0,2042,34.410503,1.0,miroc-esm-chem_rcp8.5
2.0,2043,34.416943,1.0,miroc-esm-chem_rcp8.5
2.0,2044,34.409695,1.0,miroc-esm-chem_rcp8.5
2.0,2045,34.40316,1.0,miroc-esm-chem_rcp8.5
2.0,2046,34.41174,1.0,miroc-esm-chem_rcp8.5
2.0,2047,34.408802,1.0,miroc-esm-chem_rcp8.5
2.0,2048,34.412575,1.0,miroc-esm-chem_rcp8.5
2.0,2049,34.42026,1.0,miroc-esm-chem_rcp8.5
2.0,2050,34.42066,1.0,miroc-esm-chem_rcp8.5
2.0,2051,34.413155,1.0,miroc-esm-chem_rcp8.5
2.0,2052,34.40848,1.0,miroc-esm-chem_rcp8.5
2.0,2053,34.39531,1.0,miroc-esm-chem_rcp8.5
2.0,2054,34.375404,1.0,miroc-esm-chem_rcp8.5
2.0,2055,34.391056,1.0,miroc-esm-chem_rcp8.5
2.0,2056,34.40572,1.0,miroc-esm-chem_rcp8.5
2.0,2057,34.40356,1.0,miroc-esm-chem_rcp8.5
2.0,2058,34.388992,1.0,miroc-esm-chem_rcp8.5
2.0,2059,34.38573,1.0,miroc-esm-chem_rcp8.5
2.0,2060,34.374947,1.0,miroc-esm-chem_rcp8.5
2.0,2061,34.379707,1.0,miroc-esm-chem_rcp8.5
2.0,2062,34.39446,1.0,miroc-esm-chem_rcp8.5
2.0,2063,34.38809,1.0,miroc-esm-chem_rcp8.5
2.0,2064,34.379646,1.0,miroc-esm-chem_rcp8.5
2.0,2065,34.375652,1.0,miroc-esm-chem_rcp8.5
2.0,2066,34.360237,1.0,miroc-esm-chem_rcp8.5
2.0,2067,34.370018,1.0,miroc-esm-chem_rcp8.5
2.0,2068,34.37888,1.0,miroc-esm-chem_rcp8.5
2.0,2069,34.386272,1.0,miroc-esm-chem_rcp8.5
2.0,2070,34.38816,1.0,miroc-esm-chem_rcp8.5
2.0,2071,34.380703,1.0,miroc-esm-chem_rcp8.5
2.0,2072,34.36573,1.0,miroc-esm-chem_rcp8.5
2.0,2073,34.37208,1.0,miroc-esm-chem_rcp8.5
2.0,2074,34.382126,1.0,miroc-esm-chem_rcp8.5
2.0,2075,34.402893,1.0,miroc-esm-chem_rcp8.5
2.0,2076,34.39768,1.0,miroc-esm-chem_rcp8.5
2.0,2077,34.39108,1.0,miroc-esm-chem_rcp8.5
2.0,2078,34.379898,1.0,miroc-esm-chem_rcp8.5
2.0,2079,34.354107,1.0,miroc-esm-chem_rcp8.5
2.0,2080,34.341263,1.0,miroc-esm-chem_rcp8.5
2.0,2081,34.350285,1.0,miroc-esm-chem_rcp8.5
2.0,2082,34.349026,1.0,miroc-esm-chem_rcp8.5
2.0,2083,34.33931,1.0,miroc-esm-chem_rcp8.5
2.0,2084,34.35591,1.0,miroc-esm-chem_rcp8.5
2.0,2085,34.349197,1.0,miroc-esm-chem_rcp8.5
2.0,2086,34.345062,1.0,miroc-esm-chem_rcp8.5
2.0,2087,34.35543,1.0,miroc-esm-chem_rcp8.5
2.0,2088,34.347622,1.0,miroc-esm-chem_rcp8.5
2.0,2089,34.373962,1.0,miroc-esm-chem_rcp8.5
2.0,2090,34.34463,1.0,miroc-esm-chem_rcp8.5
2.0,2091,34.319695,1.0,miroc-esm-chem_rcp8.5
2.0,2092,34.304592,1.0,miroc-esm-chem_rcp8.5
2.0,2093,34.317482,1.0,miroc-esm-chem_rcp8.5
2.0,2094,34.338768,1.0,miroc-esm-chem_rcp8.5
2.0,2095,34.3221,1.0,miroc-esm-chem_rcp8.5
2.0,2096,34.32779,1.0,miroc-esm-chem_rcp8.5
2.0,2097,34.333054,1.0,miroc-esm-chem_rcp8.5
2.0,2098,34.32401,1.0,miroc-esm-chem_rcp8.5
2.0,2099,34.3372,1.0,miroc-esm-chem_rcp8.5
2.0,2100,34.35923,1.0,miroc-esm-chem_rcp8.5
3.0,1995,34.587513,1.0,miroc-esm-chem_rcp8.5
3.0,1996,34.58846,1.0,miroc-esm-chem_rcp8.5
3.0,1997,34.58965,1.0,miroc-esm-chem_rcp8.5
3.0,1998,34.59036,1.0,miroc-esm-chem_rcp8.5
3.0,1999,34.588924,1.0,miroc-esm-chem_rcp8.5
3.0,2000,34.59217,1.0,miroc-esm-chem_rcp8.5
3.0,2001,34.59465,1.0,miroc-esm-chem_rcp8.5
3.0,2002,34.595848,1.0,miroc-esm-chem_rcp8.5
3.0,2003,34.595387,1.0,miroc-esm-chem_rcp8.5
3.0,2004,34.593285,1.0,miroc-esm-chem_rcp8.5
3.0,2005,34.591442,1.0,miroc-esm-chem_rcp8.5
3.0,2006,34.592937,1.0,miroc-esm-chem_rcp8.5
3.0,2007,34.592113,1.0,miroc-esm-chem_rcp8.5
3.0,2008,34.595352,1.0,miroc-esm-chem_rcp8.5
3.0,2009,34.59124,1.0,miroc-esm-chem_rcp8.5
3.0,2010,34.590153,1.0,miroc-esm-chem_rcp8.5
3.0,2011,34.578846,1.0,miroc-esm-chem_rcp8.5
3.0,2012,34.578762,1.0,miroc-esm-chem_rcp8.5
3.0,2013,34.581474,1.0,miroc-esm-chem_rcp8.5
3.0,2014,34.581852,1.0,miroc-esm-chem_rcp8.5
3.0,2015,34.580746,1.0,miroc-esm-chem_rcp8.5
3.0,2016,34.58314,1.0,miroc-esm-chem_rcp8.5
3.0,2017,34.58465,1.0,miroc-esm-chem_rcp8.5
3.0,2018,34.589733,1.0,miroc-esm-chem_rcp8.5
3.0,2019,34.59063,1.0,miroc-esm-chem_rcp8.5
3.0,2020,34.589615,1.0,miroc-esm-chem_rcp8.5
3.0,2021,34.588566,1.0,miroc-esm-chem_rcp8.5
3.0,2022,34.587082,1.0,miroc-esm-chem_rcp8.5
3.0,2023,34.58608,1.0,miroc-esm-chem_rcp8.5
3.0,2024,34.58905,1.0,miroc-esm-chem_rcp8.5
3.0,2025,34.587868,1.0,miroc-esm-chem_rcp8.5
3.0,2026,34.59001,1.0,miroc-esm-chem_rcp8.5
3.0,2027,34.58681,1.0,miroc-esm-chem_rcp8.5
3.0,2028,34.580856,1.0,miroc-esm-chem_rcp8.5
3.0,2029,34.58292,1.0,miroc-esm-chem_rcp8.5
3.0,2030,34.582886,1.0,miroc-esm-chem_rcp8.5
3.0,2031,34.583443,1.0,miroc-esm-chem_rcp8.5
3.0,2032,34.580315,1.0,miroc-esm-chem_rcp8.5
3.0,2033,34.583344,1.0,miroc-esm-chem_rcp8.5
3.0,2034,34.581814,1.0,miroc-esm-chem_rcp8.5
3.0,2035,34.586613,1.0,miroc-esm-chem_rcp8.5
3.0,2036,34.587845,1.0,miroc-esm-chem_rcp8.5
3.0,2037,34.586784,1.0,miroc-esm-chem_rcp8.5
3.0,2038,34.5851,1.0,miroc-esm-chem_rcp8.5
3.0,2039,34.589462,1.0,miroc-esm-chem_rcp8.5
3.0,2040,34.592934,1.0,miroc-esm-chem_rcp8.5
3.0,2041,34.589466,1.0,miroc-esm-chem_rcp8.5
3.0,2042,34.588455,1.0,miroc-esm-chem_rcp8.5
3.0,2043,34.588703,1.0,miroc-esm-chem_rcp8.5
3.0,2044,34.592045,1.0,miroc-esm-chem_rcp8.5
3.0,2045,34.589993,1.0,miroc-esm-chem_rcp8.5
3.0,2046,34.584763,1.0,miroc-esm-chem_rcp8.5
3.0,2047,34.585384,1.0,miroc-esm-chem_rcp8.5
3.0,2048,34.58839,1.0,miroc-esm-chem_rcp8.5
3.0,2049,34.587383,1.0,miroc-esm-chem_rcp8.5
3.0,2050,34.58923,1.0,miroc-esm-chem_rcp8.5
3.0,2051,34.58632,1.0,miroc-esm-chem_rcp8.5
3.0,2052,34.58545,1.0,miroc-esm-chem_rcp8.5
3.0,2053,34.584324,1.0,miroc-esm-chem_rcp8.5
3.0,2054,34.57914,1.0,miroc-esm-chem_rcp8.5
3.0,2055,34.579002,1.0,miroc-esm-chem_rcp8.5
3.0,2056,34.58282,1.0,miroc-esm-chem_rcp8.5
3.0,2057,34.579533,1.0,miroc-esm-chem_rcp8.5
3.0,2058,34.58579,1.0,miroc-esm-chem_rcp8.5
3.0,2059,34.587574,1.0,miroc-esm-chem_rcp8.5
3.0,2060,34.58346,1.0,miroc-esm-chem_rcp8.5
3.0,2061,34.584442,1.0,miroc-esm-chem_rcp8.5
3.0,2062,34.58972,1.0,miroc-esm-chem_rcp8.5
3.0,2063,34.59059,1.0,miroc-esm-chem_rcp8.5
3.0,2064,34.5889,1.0,miroc-esm-chem_rcp8.5
3.0,2065,34.58777,1.0,miroc-esm-chem_rcp8.5
3.0,2066,34.58997,1.0,miroc-esm-chem_rcp8.5
3.0,2067,34.585716,1.0,miroc-esm-chem_rcp8.5
3.0,2068,34.58047,1.0,miroc-esm-chem_rcp8.5
3.0,2069,34.58058,1.0,miroc-esm-chem_rcp8.5
3.0,2070,34.584915,1.0,miroc-esm-chem_rcp8.5
3.0,2071,34.589237,1.0,miroc-esm-chem_rcp8.5
3.0,2072,34.589947,1.0,miroc-esm-chem_rcp8.5
3.0,2073,34.593933,1.0,miroc-esm-chem_rcp8.5
3.0,2074,34.597313,1.0,miroc-esm-chem_rcp8.5
3.0,2075,34.596405,1.0,miroc-esm-chem_rcp8.5
3.0,2076,34.593437,1.0,miroc-esm-chem_rcp8.5
3.0,2077,34.593983,1.0,miroc-esm-chem_rcp8.5
3.0,2078,34.593464,1.0,miroc-esm-chem_rcp8.5
3.0,2079,34.6031,1.0,miroc-esm-chem_rcp8.5
3.0,2080,34.601124,1.0,miroc-esm-chem_rcp8.5
3.0,2081,34.593937,1.0,miroc-esm-chem_rcp8.5
3.0,2082,34.592278,1.0,miroc-esm-chem_rcp8.5
3.0,2083,34.58397,1.0,miroc-esm-chem_rcp8.5
3.0,2084,34.58723,1.0,miroc-esm-chem_rcp8.5
3.0,2085,34.58846,1.0,miroc-esm-chem_rcp8.5
3.0,2086,34.589714,1.0,miroc-esm-chem_rcp8.5
3.0,2087,34.59275,1.0,miroc-esm-chem_rcp8.5
3.0,2088,34.59547,1.0,miroc-esm-chem_rcp8.5
3.0,2089,34.599453,1.0,miroc-esm-chem_rcp8.5
3.0,2090,34.600132,1.0,miroc-esm-chem_rcp8.5
3.0,2091,34.58748,1.0,miroc-esm-chem_rcp8.5
3.0,2092,34.58523,1.0,miroc-esm-chem_rcp8.5
3.0,2093,34.591175,1.0,miroc-esm-chem_rcp8.5
3.0,2094,34.597378,1.0,miroc-esm-chem_rcp8.5
3.0,2095,34.5906,1.0,miroc-esm-chem_rcp8.5
3.0,2096,34.590847,1.0,miroc-esm-chem_rcp8.5
3.0,2097,34.591682,1.0,miroc-esm-chem_rcp8.5
3.0,2098,34.58985,1.0,miroc-esm-chem_rcp8.5
3.0,2099,34.591457,1.0,miroc-esm-chem_rcp8.5
3.0,2100,34.594826,1.0,miroc-esm-chem_rcp8.5
4.0,1995,34.353107,1.0,miroc-esm-chem_rcp8.5
4.0,1996,34.35503,1.0,miroc-esm-chem_rcp8.5
4.0,1997,34.356785,1.0,miroc-esm-chem_rcp8.5
4.0,1998,34.35593,1.0,miroc-esm-chem_rcp8.5
4.0,1999,34.357964,1.0,miroc-esm-chem_rcp8.5
4.0,2000,34.358765,1.0,miroc-esm-chem_rcp8.5
4.0,2001,34.361683,1.0,miroc-esm-chem_rcp8.5
4.0,2002,34.36269,1.0,miroc-esm-chem_rcp8.5
4.0,2003,34.366226,1.0,miroc-esm-chem_rcp8.5
4.0,2004,34.367916,1.0,miroc-esm-chem_rcp8.5
4.0,2005,34.368305,1.0,miroc-esm-chem_rcp8.5
4.0,2006,34.36499,1.0,miroc-esm-chem_rcp8.5
4.0,2007,34.35841,1.0,miroc-esm-chem_rcp8.5
4.0,2008,34.35794,1.0,miroc-esm-chem_rcp8.5
4.0,2009,34.35635,1.0,miroc-esm-chem_rcp8.5
4.0,2010,34.351257,1.0,miroc-esm-chem_rcp8.5
4.0,2011,34.345657,1.0,miroc-esm-chem_rcp8.5
4.0,2012,34.34711,1.0,miroc-esm-chem_rcp8.5
4.0,2013,34.34924,1.0,miroc-esm-chem_rcp8.5
4.0,2014,34.348854,1.0,miroc-esm-chem_rcp8.5
4.0,2015,34.350636,1.0,miroc-esm-chem_rcp8.5
4.0,2016,34.354675,1.0,miroc-esm-chem_rcp8.5
4.0,2017,34.3606,1.0,miroc-esm-chem_rcp8.5
4.0,2018,34.366554,1.0,miroc-esm-chem_rcp8.5
4.0,2019,34.368004,1.0,miroc-esm-chem_rcp8.5
4.0,2020,34.367332,1.0,miroc-esm-chem_rcp8.5
4.0,2021,34.366615,1.0,miroc-esm-chem_rcp8.5
4.0,2022,34.370193,1.0,miroc-esm-chem_rcp8.5
4.0,2023,34.366936,1.0,miroc-esm-chem_rcp8.5
4.0,2024,34.368477,1.0,miroc-esm-chem_rcp8.5
4.0,2025,34.371284,1.0,miroc-esm-chem_rcp8.5
4.0,2026,34.369835,1.0,miroc-esm-chem_rcp8.5
4.0,2027,34.36279,1.0,miroc-esm-chem_rcp8.5
4.0,2028,34.358513,1.0,miroc-esm-chem_rcp8.5
4.0,2029,34.362938,1.0,miroc-esm-chem_rcp8.5
4.0,2030,34.36703,1.0,miroc-esm-chem_rcp8.5
4.0,2031,34.368965,1.0,miroc-esm-chem_rcp8.5
4.0,2032,34.361614,1.0,miroc-esm-chem_rcp8.5
4.0,2033,34.35794,1.0,miroc-esm-chem_rcp8.5
4.0,2034,34.35563,1.0,miroc-esm-chem_rcp8.5
4.0,2035,34.356487,1.0,miroc-esm-chem_rcp8.5
4.0,2036,34.357334,1.0,miroc-esm-chem_rcp8.5
4.0,2037,34.348392,1.0,miroc-esm-chem_rcp8.5
4.0,2038,34.349106,1.0,miroc-esm-chem_rcp8.5
4.0,2039,34.34715,1.0,miroc-esm-chem_rcp8.5
4.0,2040,34.349537,1.0,miroc-esm-chem_rcp8.5
4.0,2041,34.346382,1.0,miroc-esm-chem_rcp8.5
4.0,2042,34.347317,1.0,miroc-esm-chem_rcp8.5
4.0,2043,34.343143,1.0,miroc-esm-chem_rcp8.5
4.0,2044,34.34049,1.0,miroc-esm-chem_rcp8.5
4.0,2045,34.338474,1.0,miroc-esm-chem_rcp8.5
4.0,2046,34.337997,1.0,miroc-esm-chem_rcp8.5
4.0,2047,34.344822,1.0,miroc-esm-chem_rcp8.5
4.0,2048,34.352486,1.0,miroc-esm-chem_rcp8.5
4.0,2049,34.35569,1.0,miroc-esm-chem_rcp8.5
4.0,2050,34.352177,1.0,miroc-esm-chem_rcp8.5
4.0,2051,34.345787,1.0,miroc-esm-chem_rcp8.5
4.0,2052,34.345695,1.0,miroc-esm-chem_rcp8.5
4.0,2053,34.340694,1.0,miroc-esm-chem_rcp8.5
4.0,2054,34.3377,1.0,miroc-esm-chem_rcp8.5
4.0,2055,34.338707,1.0,miroc-esm-chem_rcp8.5
4.0,2056,34.349213,1.0,miroc-esm-chem_rcp8.5
4.0,2057,34.351616,1.0,miroc-esm-chem_rcp8.5
4.0,2058,34.349483,1.0,miroc-esm-chem_rcp8.5
4.0,2059,34.348995,1.0,miroc-esm-chem_rcp8.5
4.0,2060,34.348923,1.0,miroc-esm-chem_rcp8.5
4.0,2061,34.349083,1.0,miroc-esm-chem_rcp8.5
4.0,2062,34.33866,1.0,miroc-esm-chem_rcp8.5
4.0,2063,34.333443,1.0,miroc-esm-chem_rcp8.5
4.0,2064,34.335068,1.0,miroc-esm-chem_rcp8.5
