sectors,year,thermal_forcing,regions,aogcm
1.0,1995,3.9726872,1.0,miroc-esm-chem_rcp8.5
1.0,1996,3.9952536,1.0,miroc-esm-chem_rcp8.5
1.0,1997,3.9913929,1.0,miroc-esm-chem_rcp8.5
1.0,1998,3.9968672,1.0,miroc-esm-chem_rcp8.5
1.0,1999,3.9940279,1.0,miroc-esm-chem_rcp8.5
1.0,2000,3.9977643,1.0,miroc-esm-chem_rcp8.5
1.0,2001,3.9856248,1.0,miroc-esm-chem_rcp8.5
1.0,2002,3.9708521,1.0,miroc-esm-chem_rcp8.5
1.0,2003,3.9640973,1.0,miroc-esm-chem_rcp8.5
1.0,2004,3.9734538,1.0,miroc-esm-chem_rcp8.5
1.0,2005,3.9810476,1.0,miroc-esm-chem_rcp8.5
1.0,2006,3.981133,1.0,miroc-esm-chem_rcp8.5
1.0,2007,3.9853494,1.0,miroc-esm-chem_rcp8.5
1.0,2008,4.002372,1.0,miroc-esm-chem_rcp8.5
1.0,2009,4.002526,1.0,miroc-esm-chem_rcp8.5
1.0,2010,4.0064573,1.0,miroc-esm-chem_rcp8.5
1.0,2011,4.0213103,1.0,miroc-esm-chem_rcp8.5
1.0,2012,4.029201,1.0,miroc-esm-chem_rcp8.5
1.0,2013,4.034668,1.0,miroc-esm-chem_rcp8.5
1.0,2014,4.0183263,1.0,miroc-esm-chem_rcp8.5
1.0,2015,4.0226765,1.0,miroc-esm-chem_rcp8.5
1.0,2016,4.029313,1.0,miroc-esm-chem_rcp8.5
1.0,2017,4.03325,1.0,miroc-esm-chem_rcp8.5
1.0,2018,4.0191097,1.0,miroc-esm-chem_rcp8.5
1.0,2019,4.02451,1.0,miroc-esm-chem_rcp8.5
1.0,2020,4.035669,1.0,miroc-esm-chem_rcp8.5
1.0,2021,4.0331664,1.0,miroc-esm-chem_rcp8.5
1.0,2022,4.0461683,1.0,miroc-esm-chem_rcp8.5
1.0,2023,4.0546446,1.0,miroc-esm-chem_rcp8.5
1.0,2024,4.0513215,1.0,miroc-esm-chem_rcp8.5
1.0,2025,4.063666,1.0,miroc-esm-chem_rcp8.5
1.0,2026,4.067957,1.0,miroc-esm-chem_rcp8.5
1.0,2027,4.09638,1.0,miroc-esm-chem_rcp8.5
1.0,2028,4.1024127,1.0,miroc-esm-chem_rcp8.5
1.0,2029,4.0933022,1.0,miroc-esm-chem_rcp8.5
1.0,2030,4.094606,1.0,miroc-esm-chem_rcp8.5
1.0,2031,4.0945525,1.0,miroc-esm-chem_rcp8.5
1.0,2032,4.1114726,1.0,miroc-esm-chem_rcp8.5
1.0,2033,4.102274,1.0,miroc-esm-chem_rcp8.5
1.0,2034,4.1112947,1.0,miroc-esm-chem_rcp8.5
1.0,2035,4.0925565,1.0,miroc-esm-chem_rcp8.5
1.0,2036,4.0929103,1.0,miroc-esm-chem_rcp8.5
1.0,2037,4.1098733,1.0,miroc-esm-chem_rcp8.5
1.0,2038,4.1227818,1.0,miroc-esm-chem_rcp8.5
1.0,2039,4.1175094,1.0,miroc-esm-chem_rcp8.5
1.0,2040,4.1113796,1.0,miroc-esm-chem_rcp8.5
1.0,2041,4.1291385,1.0,miroc-esm-chem_rcp8.5
1.0,2042,4.1244273,1.0,miroc-esm-chem_rcp8.5
1.0,2043,4.131508,1.0,miroc-esm-chem_rcp8.5
1.0,2044,4.130606,1.0,miroc-esm-chem_rcp8.5
1.0,2045,4.135251,1.0,miroc-esm-chem_rcp8.5
1.0,2046,4.1433663,1.0,miroc-esm-chem_rcp8.5
1.0,2047,4.14591,1.0,miroc-esm-chem_rcp8.5
1.0,2048,4.141711,1.0,miroc-esm-chem_rcp8.5
1.0,2049,4.1489043,1.0,miroc-esm-chem_rcp8.5
1.0,2050,4.133603,1.0,miroc-esm-chem_rcp8.5
1.0,2051,4.139744,1.0,miroc-esm-chem_rcp8.5
1.0,2052,4.158761,1.0,miroc-esm-chem_rcp8.5
1.0,2053,4.168897,1.0,miroc-esm-chem_rcp8.5
1.0,2054,4.1757874,1.0,miroc-esm-chem_rcp8.5
1.0,2055,4.184329,1.0,miroc-esm-chem_rcp8.5
1.0,2056,4.171441,1.0,miroc-esm-chem_rcp8.5
1.0,2057,4.1929326,1.0,miroc-esm-chem_rcp8.5
1.0,2058,4.191472,1.0,miroc-esm-chem_rcp8.5
1.0,2059,4.1855083,1.0,miroc-esm-chem_rcp8.5
1.0,2060,4.192233,1.0,miroc-esm-chem_rcp8.5
1.0,2061,4.1821876,1.0,miroc-esm-chem_rcp8.5
1.0,2062,4.172565,1.0,miroc-esm-chem_rcp8.5
1.0,2063,4.191338,1.0,miroc-esm-chem_rcp8.5
1.0,2064,4.198894,1.0,miroc-esm-chem_rcp8.5
1.0,2065,4.1966743,1.0,miroc-esm-chem_rcp8.5
1.0,2066,4.1896935,1.0,miroc-esm-chem_rcp8.5
1.0,2067,4.207995,1.0,miroc-esm-chem_rcp8.5
1.0,2068,4.214728,1.0,miroc-esm-chem_rcp8.5
1.0,2069,4.21325,1.0,miroc-esm-chem_rcp8.5
1.0,2070,4.19273,1.0,miroc-esm-chem_rcp8.5
1.0,2071,4.1974216,1.0,miroc-esm-chem_rcp8.5
1.0,2072,4.204838,1.0,miroc-esm-chem_rcp8.5
1.0,2073,4.2014027,1.0,miroc-esm-chem_rcp8.5
1.0,2074,4.1909046,1.0,miroc-esm-chem_rcp8.5
1.0,2075,4.1945677,1.0,miroc-esm-chem_rcp8.5
1.0,2076,4.206189,1.0,miroc-esm-chem_rcp8.5
1.0,2077,4.20044,1.0,miroc-esm-chem_rcp8.5
1.0,2078,4.2129116,1.0,miroc-esm-chem_rcp8.5
1.0,2079,4.1877594,1.0,miroc-esm-chem_rcp8.5
1.0,2080,4.1933794,1.0,miroc-esm-chem_rcp8.5
1.0,2081,4.200206,1.0,miroc-esm-chem_rcp8.5
1.0,2082,4.200884,1.0,miroc-esm-chem_rcp8.5
1.0,2083,4.237318,1.0,miroc-esm-chem_rcp8.5
1.0,2084,4.234433,1.0,miroc-esm-chem_rcp8.5
1.0,2085,4.2358007,1.0,miroc-esm-chem_rcp8.5
1.0,2086,4.2374477,1.0,miroc-esm-chem_rcp8.5
1.0,2087,4.2423778,1.0,miroc-esm-chem_rcp8.5
1.0,2088,4.237532,1.0,miroc-esm-chem_rcp8.5
1.0,2089,4.2576957,1.0,miroc-esm-chem_rcp8.5
1.0,2090,4.2512555,1.0,miroc-esm-chem_rcp8.5
1.0,2091,4.2640424,1.0,miroc-esm-chem_rcp8.5
1.0,2092,4.282092,1.0,miroc-esm-chem_rcp8.5
1.0,2093,4.2762575,1.0,miroc-esm-chem_rcp8.5
1.0,2094,4.268607,1.0,miroc-esm-chem_rcp8.5
1.0,2095,4.283747,1.0,miroc-esm-chem_rcp8.5
1.0,2096,4.2793717,1.0,miroc-esm-chem_rcp8.5
1.0,2097,4.2794933,1.0,miroc-esm-chem_rcp8.5
1.0,2098,4.28436,1.0,miroc-esm-chem_rcp8.5
1.0,2099,4.291768,1.0,miroc-esm-chem_rcp8.5
1.0,2100,4.3000145,1.0,miroc-esm-chem_rcp8.5
2.0,1995,1.5681605,1.0,miroc-esm-chem_rcp8.5
2.0,1996,1.5153301,1.0,miroc-esm-chem_rcp8.5
2.0,1997,1.4929556,1.0,miroc-esm-chem_rcp8.5
2.0,1998,1.5592391,1.0,miroc-esm-chem_rcp8.5
2.0,1999,1.58261,1.0,miroc-esm-chem_rcp8.5
2.0,2000,1.6198349,1.0,miroc-esm-chem_rcp8.5
2.0,2001,1.6251278,1.0,miroc-esm-chem_rcp8.5
2.0,2002,1.6102629,1.0,miroc-esm-chem_rcp8.5
2.0,2003,1.6216819,1.0,miroc-esm-chem_rcp8.5
2.0,2004,1.6298118,1.0,miroc-esm-chem_rcp8.5
2.0,2005,1.6811743,1.0,miroc-esm-chem_rcp8.5
2.0,2006,1.6667371,1.0,miroc-esm-chem_rcp8.5
2.0,2007,1.6291754,1.0,miroc-esm-chem_rcp8.5
2.0,2008,1.6193295,1.0,miroc-esm-chem_rcp8.5
2.0,2009,1.5765139,1.0,miroc-esm-chem_rcp8.5
2.0,2010,1.5597532,1.0,miroc-esm-chem_rcp8.5
2.0,2011,1.5906264,1.0,miroc-esm-chem_rcp8.5
2.0,2012,1.6747111,1.0,miroc-esm-chem_rcp8.5
2.0,2013,1.6916839,1.0,miroc-esm-chem_rcp8.5
2.0,2014,1.6569238,1.0,miroc-esm-chem_rcp8.5
2.0,2015,1.6133577,1.0,miroc-esm-chem_rcp8.5
2.0,2016,1.6282908,1.0,miroc-esm-chem_rcp8.5
2.0,2017,1.6491034,1.0,miroc-esm-chem_rcp8.5
