pr_anomaly,evspsbl_anomaly,mrro_anomaly,smb_anomaly,ts_anomaly,year,sector,aogcm,thermal_forcing,salinity,temperature,ivaf,id,exp,model,sle,ice_sheet,Scenario,Ocean forcing,Ocean sensitivity,Ice shelf fracture,Tier
-7.088466e-07,-1.7997656e-06,9.1453245e-09,1.0817737e-06,-0.6466742,1,1,noresm1-m_rcp85,4.052609,34.538155,1.4597255,-9145418000.0,AWI_PISM1_exp01_sector1,exp01,AWI_PISM1,-0.025228739,AIS,rcp8.5,Open,Medium,False,1
3.354607e-06,8.4536487e-07,-1.04553575e-08,2.5196978e-06,0.007702126,2,1,noresm1-m_rcp85,4.048029,34.54216,1.454916,15628179000.0,AWI_PISM1_exp01_sector1,exp01,AWI_PISM1,0.04311222,AIS,rcp8.5,Open,Medium,False,1
1.6510604e-06,-3.1830848e-07,9.646026e-10,1.9684041e-06,-0.12585382,3,1,noresm1-m_rcp85,4.025996,34.544907,1.4327273,38774678000.0,AWI_PISM1_exp01_sector1,exp01,AWI_PISM1,0.106964625,AIS,rcp8.5,Open,Medium,False,1
1.3058835e-06,-2.688589e-07,-2.5745527e-08,1.6004882e-06,-0.34453338,4,1,noresm1-m_rcp85,4.0376115,34.54777,1.444178,37706800000.0,AWI_PISM1_exp01_sector1,exp01,AWI_PISM1,0.10401876,AIS,rcp8.5,Open,Medium,False,1
-1.8460897e-06,2.2850169e-07,-4.2073616e-08,-2.032518e-06,-1.6241165,5,1,noresm1-m_rcp85,4.073593,34.54195,1.4804901,35928994000.0,AWI_PISM1_exp01_sector1,exp01,AWI_PISM1,0.09911446,AIS,rcp8.5,Open,Medium,False,1
-1.8209784e-06,-1.0624783e-06,-3.7890402e-08,-7.2060976e-07,-0.974687,6,1,noresm1-m_rcp85,4.082889,34.538666,1.489976,17186685000.0,AWI_PISM1_exp01_sector1,exp01,AWI_PISM1,0.047411542,AIS,rcp8.5,Open,Medium,False,1
-2.8631115e-07,1.4247221e-06,1.005037e-08,-1.7210832e-06,-0.058638025,7,1,noresm1-m_rcp85,4.068752,34.534573,1.4760449,19965473000.0,AWI_PISM1_exp01_sector1,exp01,AWI_PISM1,0.05507717,AIS,rcp8.5,Open,Medium,False,1
9.755098e-07,1.1629505e-06,2.7193767e-08,-2.1463464e-07,0.93854046,8,1,noresm1-m_rcp85,4.0792937,34.534435,1.4865896,31450802000.0,AWI_PISM1_exp01_sector1,exp01,AWI_PISM1,0.086760834,AIS,rcp8.5,Open,Medium,False,1
1.8837744e-06,7.389402e-07,3.1425667e-08,1.1134085e-06,0.56900305,9,1,noresm1-m_rcp85,4.07266,34.538467,1.4797571,67408430000.0,AWI_PISM1_exp01_sector1,exp01,AWI_PISM1,0.18595429,AIS,rcp8.5,Open,Medium,False,1
1.0278583e-06,1.1523747e-06,-1.26842705e-08,-1.1183209e-07,-0.6451154,10,1,noresm1-m_rcp85,4.056613,34.541798,1.4635196,47242460000.0,AWI_PISM1_exp01_sector1,exp01,AWI_PISM1,0.13032404,AIS,rcp8.5,Open,Medium,False,1
-5.321313e-07,-3.065773e-07,-1.9310608e-08,-2.0624336e-07,-1.9634529,11,1,noresm1-m_rcp85,4.088873,34.54083,1.4958361,41867436000.0,AWI_PISM1_exp01_sector1,exp01,AWI_PISM1,0.115496375,AIS,rcp8.5,Open,Medium,False,1
9.865915e-07,-1.2494169e-06,4.1142624e-08,2.1948658e-06,-0.40643853,12,1,noresm1-m_rcp85,4.0866995,34.540863,1.4936603,66349273000.0,AWI_PISM1_exp01_sector1,exp01,AWI_PISM1,0.18303248,AIS,rcp8.5,Open,Medium,False,1
3.0667563e-06,1.4154864e-07,1.2659199e-08,2.9125483e-06,0.23045924,13,1,noresm1-m_rcp85,4.080259,34.5443,1.4870231,84222665000.0,AWI_PISM1_exp01_sector1,exp01,AWI_PISM1,0.23233838,AIS,rcp8.5,Open,Medium,False,1
1.4635594e-06,1.6318978e-06,-3.7450548e-08,-1.3088778e-07,-0.6870346,14,1,noresm1-m_rcp85,4.0805173,34.548077,1.4870658,89526600000.0,AWI_PISM1_exp01_sector1,exp01,AWI_PISM1,0.24696994,AIS,rcp8.5,Open,Medium,False,1
1.6326882e-06,6.6845054e-08,-2.388478e-09,1.5682317e-06,-0.8890411,15,1,noresm1-m_rcp85,4.0915833,34.551094,1.4979594,95334300000.0,AWI_PISM1_exp01_sector1,exp01,AWI_PISM1,0.2629912,AIS,rcp8.5,Open,Medium,False,1
1.9636754e-07,-1.5337197e-06,5.835106e-08,1.671736e-06,0.37614653,16,1,noresm1-m_rcp85,4.086466,34.549007,1.492959,99772600000.0,AWI_PISM1_exp01_sector1,exp01,AWI_PISM1,0.27523476,AIS,rcp8.5,Open,Medium,False,1
1.6438966e-06,1.068032e-06,-1.3239536e-08,5.89104e-07,0.67980075,17,1,noresm1-m_rcp85,4.0837874,34.54491,1.4905169,99923980000.0,AWI_PISM1_exp01_sector1,exp01,AWI_PISM1,0.27565235,AIS,rcp8.5,Open,Medium,False,1
1.6327829e-06,3.3650886e-07,-2.3683648e-09,1.2986424e-06,0.6205493,18,1,noresm1-m_rcp85,4.0866885,34.541965,1.493585,81139140000.0,AWI_PISM1_exp01_sector1,exp01,AWI_PISM1,0.22383212,AIS,rcp8.5,Open,Medium,False,1
4.283674e-06,7.2351054e-07,-5.3114606e-09,3.5654746e-06,0.5144017,19,1,noresm1-m_rcp85,4.0908504,34.545845,1.4975262,88467140000.0,AWI_PISM1_exp01_sector1,exp01,AWI_PISM1,0.24404728,AIS,rcp8.5,Open,Medium,False,1
